ID,Lesson,Student,right,bug,help,choice,string,number,point,pknowdirect,pknow,punchange,time,timeSD,time3SD,time5SD,howmanywrong,helppct,wrongpct,timeperact,prev3count,prev5count,recent8help,recent5wrong,manywrong,asymptoteA,asymptoteB,optoprac,GHpred,GHpredthresh,GNHpred,GNHpredthresh
4181,Splot,KCFBBBE,1,0,0,1,0,0,0,0.333333333,0.333333333,0,1.75,-0.87563733,0,0,0,0,0,1.75,0,0,0,0,0,0,1,1,0,0,0,0
4182,Splot,KCFBBBE,1,0,0,0,1,0,0,0.333333333,0.333333333,0,107.859,20.30698004,0,0,0,0,0,107.859,0,0,0,0,0,0,0,1,0,0,0,0
4183,Splot,KCFBBBE,0,0,0,1,0,0,0,0.307692308,0.307692308,0,0.047,-0.76515365,0,0,1,0,1,0.8985,0,0,0,0,0,0,1,2,0.465865385,0,0,0
4184,Splot,KCFBBBE,1,0,0,1,0,0,0,-1,0.307692308,1,19.797,3.664851513,18.66618905,0,1,0,0,19.797,1,1,0,1,0,0,1,1,-133.1879719,0,-2.709590904,0
4185,Splot,KCFBBBE,1,0,0,0,1,0,0,0.470588235,0.470588235,0,5.656,0.161163074,23.2066779,0,0,0,0,56.7575,0,0,0,1,0,0,0,2,-185.1265278,0,-8.23220638,0
4186,Splot,KCFBBBE,0,0,0,1,0,0,0,0.413043478,0.413043478,0,3.063,0.024414123,3.060860937,22.49220364,1,0,1,38.85933333,0,0,0,1,0,0,0,3,-1.494302133,0,-1.668393847,0
4187,Splot,KCFBBBE,1,0,0,1,0,0,0,-1,0.364705882,0,1.75,-0.306635777,3.850428711,23.3922551,1,0,0,1.75,1,1,0,2,0,0,0,1,-5.096369182,0,-0.042114064,0
4188,Splot,KCFBBBE,0,0,0,1,0,0,0,0.3671875,0.3671875,0,2.078,-0.342610184,-0.121058579,2.778639283,1,0,2,29.664,0,0,0,2,0,0,0,4,0.98615033,1,-1.827555739,0
4189,Splot,KCFBBBE,1,0,0,1,0,0,0,-1,0.540063091,0,1.437,-0.479513001,-0.624831838,3.20118275,1,0,0,1.5935,1,1,0,2,0,0,0,2,-0.134205096,0,0.006222935,0
4190,Splot,KCFBBBE,1,0,0,1,0,0,0,0.431578947,0.431578947,0,1.391,-0.628169459,-1.128758962,-0.943181765,0,0,0,1.391,0,0,0,2,0,0,0,1,-0.437970773,0,0.009813148,0
4191,Splot,KCFBBBE,0,0,0,1,0,0,0,0.431578947,0.431578947,0,2.062,-0.454779971,-1.450292644,-1.732514298,1,0,1,1.7265,0,0,0,2,0,0,0,2,-0.637097862,0,-1.834350436,0
4192,Splot,KCFBBBE,1,0,0,1,0,0,0,0.675278396,0.675278396,0,1.188,-0.610404499,-1.562462431,-2.211708392,1,0,0,1.547,1,1,0,2,0,0,0,3,-0.839193042,0,0.015107059,0
4193,Splot,KCFBBBE,1,0,0,1,0,0,0,0.846214548,0.846214548,0,13.469,-0.169727839,-1.69335393,-2.515477115,0,0,0,4.5275,0,0,0,2,0,0,0,4,-0.985685089,0,0.047916624,0
4194,Splot,KCFBBBE,0,0,0,0,1,0,0,0.187096774,0.187096774,0,15.625,-0.262480432,-1.23491231,-2.34259477,1,0,1,15.625,0,0,0,1,0,0,0,1,-0.664474589,0,-0.804403095,0
4195,Splot,KCFBBBE,0,1,0,0,1,0,0,0.187096774,0.187096774,0,6.25,-0.678374925,-1.042612771,-2.125562201,2,0,2,10.9375,1,1,0,2,0,0,0,2,-0.34985546,0,-0.761540143,0
4196,Splot,KCFBBBE,0,0,0,0,0,0,0,0.187096774,0.187096774,0,8.281,-0.588275542,-1.110583196,-2.175767667,3,0,3,10.052,2,2,0,3,0,0,0,3,-0.219699301,0,-2.705227611,0
4197,Splot,KCFBBBE,0,0,0,0,1,0,0,0.187096774,0.187096774,0,11.297,-0.399109902,-1.529130899,-2.309263238,1,0,4,10.36325,0,0,0,3,0,0,0,4,-1.798754654,0,-2.675957714,0
4198,Splot,KCFBBBE,0,0,0,0,0,0,0,0.187096774,0.187096774,0,5.281,-0.693080369,-1.66576037,-2.097968641,2,0,5,9.3468,1,1,0,4,0,0,0,5,-2.043213771,0,-3.602690444,0
4199,Splot,KCFBBBE,0,1,0,0,1,0,0,0.187096774,0.187096774,0,13.297,-0.365755352,-1.680465813,-2.62132117,4,0,6,10.00516667,1,3,0,5,1,0,0,6,-1.335542895,0,-2.520220363,0
4200,Splot,KCFBBBE,0,0,1,0,0,0,0,-1,0.187096774,1,2.187,-0.7529828,-1.457945624,-2.724596091,1,1,0,2.187,0,0,0,5,0,0,0,1,0.317221546,0,-5.005071706,0
4201,Splot,KCFBBBE,0,0,0,0,0,0,0,-1,0.187096774,1,14.047,-0.332483793,-1.811818521,-2.799203965,5,0,1,8.117,1,2,1,5,0,0,0,2,0.269785629,0,-6.533084182,0
4202,Splot,KCFBBBE,1,0,0,0,1,0,0,-1,0.187096774,1,3.906,-0.76026943,-1.451221945,-2.543412216,2,0,0,6.713333333,0,2,1,5,0,0,0,3,0.443064371,0,0.123390854,0
4203,Splot,KCFBBBE,1,0,0,0,1,0,0,0.431578947,0.431578947,0,13.688,-0.348409779,-1.845736022,-2.904571744,5,0,0,13.688,1,2,1,4,0,0,1,1,-0.885146326,0,1.020402717,1
4204,Splot,KCFBBBE,1,0,0,0,0,1,0,0.431578947,0.431578947,0,10.203,-0.197307053,-1.441163002,-2.559901154,0,0,0,10.203,0,0,1,3,0,0,0,1,-0.428030785,0,0.091901163,0
4205,Splot,KCFBBBE,1,0,0,0,0,1,0,0.431578947,0.431578947,0,6.5,-0.584525762,-1.305986263,-2.391452855,0,0,0,6.5,0,0,1,2,0,0,0,1,-0.300378988,0,0.053055692,0
4206,Splot,KCFBBBE,0,0,1,0,0,0,0,0.187096774,0.187096774,0,1.937,-0.82386593,-1.130242595,-2.222995818,1,1,0,1.937,0,0,1,1,0,1,0,1,-0.315171249,0,-0.911317001,0
4207,Splot,KCFBBBE,1,0,0,0,0,1,0,0.187096774,0.187096774,0,8.891,-0.406829389,-1.605698746,-2.714377955,1,0,0,5.414,1,1,2,1,0,1,0,2,-0.638376558,0,0.391832831,0
4208,Splot,KCFBBBE,0,0,1,0,0,0,0,0.187096774,0.187096774,0,2.094,-0.830618276,-1.815221081,-2.360937914,1,1,0,2.094,0,0,2,1,0,0,0,1,-0.884762502,0,-0.901243294,0
4209,Splot,KCFBBBE,1,0,0,0,0,1,0,-1,0.364705882,0,12.969,-0.235263963,-2.061313595,-2.843146411,1,0,0,12.969,1,1,2,2,0,0,0,1,-0.977363178,0,0.50458235,1
4210,Splot,KCFBBBE,0,0,1,0,0,0,0,-1,0.236363636,0,2,-0.725585476,-1.472711628,-2.881103321,1,1,0,2,0,0,2,2,0,0,0,1,-0.432370524,0,-1.831591105,0
4211,Splot,KCFBBBE,1,0,0,0,0,1,0,-1,0.236363636,1,4.875,-0.462604891,-1.791467716,-3.022163034,1,0,0,4.875,1,1,3,3,0,0,1,1,0.654173825,1,-0.007916218,0
4212,Splot,KCFBBBE,0,0,1,0,0,0,0,-1,0.236363636,0,2.047,-0.751209496,-1.42345433,-2.660901995,1,1,0,2.047,0,0,3,2,0,1,0,1,-0.226741164,0,-1.831788681,0
4213,Splot,KCFBBBE,1,0,0,0,0,1,0,-1,0.236363636,1,16.703,0.445467112,-1.939399863,-3.005282103,1,0,0,16.703,1,1,4,3,0,1,0,1,0.727370097,1,0.139961224,0
4214,Splot,KCFBBBE,0,0,1,0,0,0,0,0.187096774,0.187096774,0,1.187,-0.830757703,-0.768347275,-1.729196715,1,1,0,1.187,0,0,4,2,0,1,0,1,0.292871049,0,-1.844299824,0
4215,Splot,KCFBBBE,0,0,1,0,0,0,0,0.187096774,0.187096774,0,1.125,-0.83555561,-1.136500087,-2.324690454,2,2,0,1.156,1,1,4,3,0,1,0,2,0.051807798,0,-2.766788787,0
4216,Splot,KCFBBBE,1,0,0,0,0,1,0,-1,0.364705882,0,13.781,0.143836486,-1.220846201,-2.434660588,2,0,0,13.781,2,2,5,3,0,1,0,1,0.695740738,1,0.780153009,1
4217,Splot,KCFBBBE,1,0,0,0,0,1,0,0.675278396,0.675278396,0,1.985,-0.686484613,-1.522476826,-1.828219211,0,0,0,6.094,0,0,4,3,0,0,0,2,0.992697358,1,0.057987336,0
4218,Splot,KCFBBBE,0,0,0,0,0,1,0,0.320958084,0.320958084,0,2.687,-0.680670788,-1.378203736,-1.763494327,1,0,1,4.5935,0,0,4,2,0,0,0,2,0.171839495,0,-1.472932632,0
4219,Splot,KCFBBBE,1,0,0,0,0,1,0,-1,0.364705882,0,8.438,-0.182579575,-1.223318914,-2.889632227,1,0,0,8.438,1,1,3,3,0,0,0,1,0.210427915,0,0.402014781,0
4220,Splot,KCFBBBE,0,0,1,0,0,0,0,0.180804954,0.180804954,0,2.234,-0.74061576,-1.549734976,-2.241454099,1,2,0,4.354,0,0,3,2,0,1,0,3,-0.466227138,0,-1.807827837,0
4221,Splot,KCFBBBE,1,0,0,0,0,1,0,0.180804954,0.180804954,0,19.562,0.649183284,-1.603866123,-2.14651425,1,0,0,8.156,1,1,3,2,0,1,0,4,-0.524908028,0,0.419257076,0
4222,Splot,KCFBBBE,1,0,0,0,0,1,0,0.414457831,0.414457831,0,7.829,-0.355813754,-0.274012052,-1.641167453,0,0,0,7.829,0,0,3,2,0,0,0,1,0.797925294,1,0.013407752,0
4223,Splot,KCFBBBE,0,0,1,0,0,0,0,-1,0.262952646,0,2,-0.580960062,-0.447246231,-1.310496594,1,2,0,2,0,0,2,2,0,0,0,2,0.279652222,0,-1.844409422,0
4224,Splot,KCFBBBE,0,0,0,0,0,1,0,-1,0.262952646,0,4.141,-0.281905227,-0.287590533,-1.210785869,2,0,1,2.713666667,1,1,2,2,0,0,0,3,0.705123072,1,-1.170122345,0
4225,Splot,KCFBBBE,0,0,1,0,0,0,0,-1,0.262952646,0,0.781,-0.751229957,-1.218679043,-1.31011152,3,3,0,2.2305,2,2,2,3,0,0,0,4,-0.162117891,0,-2.758010852,0
4226,Splot,KCFBBBE,0,0,0,0,0,1,0,-1,0.262952646,0,5.266,-0.12476525,-1.614095246,-1.320725717,4,0,2,2.8376,3,3,3,3,1,0,0,5,-0.255968309,0,-1.6687737,0
4227,Splot,KCFBBBE,0,0,0,0,0,0,0,-1,0.262952646,0,1.406,-0.66392997,-1.157900434,-2.09467425,5,0,3,2.599,3,4,3,4,1,0,0,6,0.985636342,1,-4.113217919,0
4228,Splot,KCFBBBE,0,0,0,0,0,1,0,-1,0.282772567,0,3.047,-0.538717382,-1.539925177,-2.402790466,1,0,4,2.663,0,0,3,5,0,0,0,7,-0.785674608,0,-4.26186987,0
4229,Splot,KCFBBBE,0,0,1,0,0,0,0,-1,0.297759807,0,1.094,-0.874523012,-1.327412602,-2.360547785,1,4,0,2.466875,0,0,2,5,0,0,0,8,-0.21116408,0,-4.604533994,0
4230,Splot,KCFBBBE,0,0,0,0,0,1,0,-1,0.297759807,0,3.031,-0.758453803,-2.077170364,-2.953165571,2,0,5,2.529555556,1,1,3,5,0,0,0,9,-2.047642824,0,-3.917160514,0
4231,Splot,KCFBBBE,0,0,0,0,0,1,0,-1,0.297759807,0,1.125,-0.757789582,-2.171694197,-2.960389417,2,0,6,2.3891,1,1,3,5,0,0,0,10,-2.626090136,0,-3.917572534,0
4232,Splot,KCFBBBE,0,0,0,0,0,0,0,-1,0.297759807,0,4.375,-0.387350118,-2.390766397,-3.593413749,3,0,7,2.569636364,1,2,2,5,0,0,0,11,-3.429779571,0,-4.586603748,0
4233,Splot,KCFBBBE,0,0,0,0,0,1,0,-1,0.297759807,0,1.032,-0.716170282,-1.903593502,-3.316833897,6,0,8,2.4415,0,0,2,5,0,0,0,12,0.410893028,0,-2.570952353,0
4234,Splot,KCFBBBE,0,0,0,0,0,1,0,-1,0.297759807,0,1.109,-0.759613284,-1.861309982,-3.494286797,4,0,9,2.339,2,2,1,5,0,0,0,13,-0.896072033,0,-3.247789975,0
4235,Splot,KCFBBBE,0,0,0,0,0,0,0,-1,0.297759807,0,0.344,-0.919464627,-1.863133684,-3.379377068,3,0,10,2.1965,0,1,1,5,0,0,0,14,-1.706790076,0,-4.599422668,0
4236,Splot,KCFBBBE,0,0,0,0,0,0,0,-1,0.297759807,0,0.828,-0.791642049,-2.395248193,-3.540387892,5,0,11,2.105266667,1,3,1,5,1,0,0,15,-2.927679545,0,-5.323688527,0
4237,Splot,KCFBBBE,0,0,1,0,0,0,0,-1,0.297759807,0,2.516,-0.508885193,-2.47071996,-3.57424036,7,5,0,2.1309375,0,1,1,5,0,0,0,16,-1.901141263,0,-4.592094064,0
4238,Splot,KCFBBBE,0,0,0,0,0,1,0,-1,0.297759807,0,3.047,-0.434715124,-2.219991869,-3.695775435,8,0,12,2.184823529,1,2,1,5,0,0,0,17,0.946073862,1,-1.894685685,0
4239,Splot,KCFBBBE,0,0,0,0,0,1,0,-1,0.297759807,0,2.031,-0.654522457,-1.735242366,-3.414320277,6,0,13,2.176277778,1,2,1,5,0,0,0,18,2.019990677,1,-2.576397691,0
4240,Splot,KCFBBBE,0,0,0,0,0,0,0,-1,0.297759807,0,1.735,-0.617975257,-1.598122774,-3.309229451,9,0,14,2.153052632,2,2,1,5,0,0,0,19,6.517317406,1,-4.603494735,0
4241,Splot,KCFBBBE,0,0,1,0,0,0,0,-1,0.297759807,0,0.843,-0.789932329,-1.707212838,-3.00774008,7,6,0,2.08755,1,2,1,5,0,0,0,20,-0.804619516,0,-4.602725674,0
4242,Splot,KCFBBBE,0,0,0,0,0,1,0,-1,0.297759807,0,18.578,1.734654634,-2.062430043,-3.00603036,10,0,15,2.872809524,1,3,2,5,1,0,0,21,5.295030868,1,-1.832962708,0
4243,Splot,KCFBBBE,1,0,0,0,0,1,0,-1,0.297759807,1,15.609,1.319944775,0.326747048,-0.762490533,10,0,0,10.242,2,3,2,5,1,0,1,2,0.122982304,0,-0.803179568,0
4244,Splot,KCFBBBE,0,0,0,0,0,1,0,-1,0.297759807,1,7.797,0.002694142,2.26466708,0.992169366,8,0,1,9.427,1,2,2,4,0,0,1,3,-1.138898439,0,-4.333431354,0
4245,Splot,KCFBBBE,1,0,0,0,0,1,0,-1,0.297759807,1,4.719,-0.348140526,3.057293551,1.649385965,8,0,0,10.711,1,2,2,4,0,1,0,2,-5.015944321,0,-0.704666695,0
4246,Splot,KCFBBBE,0,0,0,0,0,1,0,-1,0.297759807,1,2.75,-0.775291928,0.974498391,1.919220696,4,0,1,8.057333333,0,0,1,3,0,1,0,3,0.226949998,0,-3.074074115,0
4247,Splot,KCFBBBE,0,0,1,0,0,0,0,-1,0.297759807,1,0.844,-0.889503551,-1.120738312,1.933861098,5,1,0,0.844,1,1,1,3,0,0,0,1,0.571027846,1,-4.769088105,0
4248,Splot,KCFBBBE,0,0,1,0,0,0,0,-1,0.297759807,1,6.875,-0.528113048,-2.012936004,-0.690297087,6,2,0,3.8595,2,2,2,3,0,0,0,2,0.448484968,0,-5.126444209,0
4249,Splot,KCFBBBE,0,0,1,0,0,0,0,-1,0.297759807,1,9.594,-0.365184715,-2.192908526,-2.53835491,7,3,0,5.771,3,3,3,4,1,0,0,3,0.514909186,1,-6.944440231,0
4250,Splot,KCFBBBE,0,0,1,0,0,0,0,-1,0.297759807,1,31,0.917508884,-1.782801314,-2.906233767,8,4,0,12.07825,3,4,3,4,1,0,0,4,0.780617755,1,-7.364828715,0
4251,Splot,KCFBBBE,1,0,0,0,0,1,0,-1,0.364705882,0,21.875,0.370719241,0.024211121,-1.640584357,8,0,0,17.828,3,5,4,5,1,1,0,2,0.966269089,1,2.358931752,1
4252,Splot,KCFBBBE,1,0,0,0,0,1,0,0.431578947,0.431578947,0,3.641,-0.573790727,0.92304341,-0.494573188,0,0,0,3.641,0,0,4,4,0,0,0,1,0.85080607,1,-0.021005007,0
4253,Splot,KCFBBBE,1,0,0,0,0,1,0,0.675278396,0.675278396,0,6.359,-0.269126238,0.714437399,-0.178860364,0,0,0,5,0,0,4,3,0,0,0,2,1.614030602,1,-0.022326169,0
4254,Splot,KCFBBBE,0,0,0,0,0,1,0,0.187096774,0.187096774,0,18.907,1.519519407,-0.472197723,0.080126446,1,0,1,18.907,0,0,4,2,0,0,0,1,0.560158334,1,-1.456700985,0
4255,Splot,KCFBBBE,0,0,0,0,0,1,0,0.187096774,0.187096774,0,4.703,-0.278202684,0.676602442,1.964830567,2,0,2,11.805,1,1,4,2,0,0,0,2,1.630177078,1,-1.224920574,0
4256,Splot,KCFBBBE,1,0,0,0,0,1,0,-1,0.364705882,0,2.968,-0.497792083,0.972190485,0.769119,2,0,0,2.968,2,2,3,2,0,0,0,1,0.399956137,0,0.656965867,1
4257,Splot,KCFBBBE,1,0,0,0,0,1,0,0.431578947,0.431578947,0,2.391,-0.435557643,0.74352464,-0.099392325,0,0,0,2.391,0,0,2,2,0,0,0,1,0.381807174,0,-0.011111046,0
4258,Splot,KCFBBBE,1,0,0,0,0,1,0,0.675278396,0.675278396,0,1.766,-0.475732904,-1.21155241,0.038840759,0,0,0,2.0785,0,0,1,2,0,0,0,2,-0.057204677,0,0.015738823,0
4259,Splot,KCFBBBE,1,0,0,0,0,1,0,0.846214548,0.846214548,0,2.265,-0.483116952,-1.409082631,-0.167765908,0,0,0,2.140666667,0,0,0,2,0,0,0,3,-0.682520389,0,0.018852351,0
4260,Splot,KCFBBBE,0,0,0,0,0,1,0,0.732002671,0.732002671,0,2.86,-0.192279592,-1.3944075,-2.170402266,1,0,1,2.3205,0,0,0,1,0,0,0,4,-0.186312396,0,-0.567276734,0
4261,Splot,KCFBBBE,1,0,0,0,0,1,0,-1,0.732002671,1,9.343,1.164314037,-1.151129448,-2.084479174,1,0,0,9.343,1,1,0,1,0,0,0,1,0.371871507,0,0.004718765,0
4262,Splot,KCFBBBE,1,0,0,0,0,1,0,0.877936659,0.877936659,0,3.563,-0.3364064,0.488917494,-0.422373054,0,0,0,2.569,0,0,0,1,0,0,0,5,-0.082170108,0,-0.007850182,0
4263,Splot,KCFBBBE,1,0,0,0,0,1,0,0.949388231,0.949388231,0,1.984,-0.479000123,0.635628045,-0.323221811,0,0,0,2.4715,0,0,0,1,0,0,0,6,-0.13888291,0,-0.009818467,0
4264,Splot,KCFBBBE,1,0,0,0,0,1,0,0.979896916,0.979896916,0,2.297,-0.402688683,0.348907514,-0.32648903,0,0,0,2.446571429,0,0,0,1,0,0,0,7,-0.041846906,0,-0.00533517,0
4265,Splot,KCFBBBE,1,0,0,0,0,1,0,0.992155844,0.992155844,0,2.172,-0.589685997,-1.218095206,-0.246060761,0,0,0,2.41225,0,0,0,1,0,0,0,8,-0.510041102,0,0.018364689,0
4266,Splot,KCFBBBE,1,0,0,0,0,1,0,0.996960774,0.996960774,0,9.234,-0.392759285,-1.471374803,-0.643467167,0,0,0,3.170222222,0,0,0,0,0,0,0,9,-0.744199435,0,0.029153657,0
4267,Splot,KCFBBBE,1,0,0,0,0,1,0,0.414457831,0.414457831,0,0.829,-0.747737852,-1.385133965,-2.200540488,0,0,0,8.146333333,0,0,0,0,0,0,0,3,-0.65951741,0,0.070523519,0
4268,Splot,KCFBBBE,1,0,0,0,0,1,0,0.998825688,0.998825688,0,1.453,-0.533230182,-1.730183133,-2.61187194,0,0,0,2.9985,0,0,0,0,0,0,0,10,-1.029027201,0,0.032424713,0
4269,Splot,KCFBBBE,1,0,0,0,0,1,0,0.999546747,0.999546747,0,4.109,-0.260721989,-1.673727319,-2.666101999,0,0,0,3.099454545,0,0,0,0,0,0,0,11,-0.962968578,0,0.032422761,0
4270,Splot,KCFBBBE,1,0,0,0,0,1,0,0.999825128,0.999825128,0,1.766,-0.561331027,-1.541690023,-2.524135305,0,0,0,2.988333333,0,0,0,0,0,0,0,12,-0.817027794,0,0.028794273,0
4271,Splot,KCFBBBE,1,0,0,0,0,1,0,0.999932543,0.999932543,0,1.109,-0.598053574,-1.355283199,-2.495780335,0,0,0,2.843769231,0,0,0,0,0,0,0,13,-0.631397439,0,0.024088204,0
4272,Splot,KCFBBBE,1,0,0,0,0,1,0,0.99997398,0.99997398,0,1.031,-0.545638152,-1.420106591,-2.701074624,0,0,0,2.714285714,0,0,0,0,0,0,0,14,-0.693241563,0,0.024091094,0
4273,Splot,KCFBBBE,1,0,0,0,0,1,0,0.999989963,0.999989963,0,1.625,-0.461147038,-1.705022753,-2.498974925,0,0,0,2.641666667,0,0,0,0,0,0,0,15,-0.999316515,0,0.028150636,0
4274,Splot,KCFBBBE,1,0,0,0,0,1,0,0.999996129,0.999996129,0,1.469,-0.543915802,-1.604838764,-2.42689178,0,0,0,2.568375,0,0,0,0,0,0,0,16,-0.885330688,0,0.025761423,0
4275,Splot,KCFBBBE,1,0,0,0,0,1,0,0.999998507,0.999998507,0,6.797,0.054286725,-1.550700992,-2.710085593,0,0,0,2.817117647,0,0,0,0,0,0,0,17,-0.826606538,0,0.02730317,0
